timestamp,position,velocity
1740507762.209224,202.49346000000017,20.0
1740507762.21761,202.66120000000018,20.0
1740507762.234269,202.99434000000014,20.0
1740507762.242542,203.15984000000014,20.0
1740507762.2592618,203.49424000000013,20.0
1740507762.267606,203.66108000000014,20.0
1740507762.275858,203.82618000000014,20.0
1740507762.28439,203.9966400000001,20.0
1740507762.300936,204.3277000000001,20.0
1740507762.309335,204.49544000000012,20.0
1740507762.325988,204.8287000000001,20.0
1740507762.334232,204.99364000000014,20.0
1740507762.34251,205.15918000000013,20.0
1740507762.3509052,205.32708000000014,20.0
1740507762.367797,205.66478000000015,20.0
1740507762.3759959,205.82866000000013,20.0
1740507762.392651,206.16196000000014,20.0
1740507762.400933,206.32762000000014,20.0
1740507762.40927,206.49440000000013,20.0
1740507762.41761,206.66118000000014,20.0
1740507762.4342809,206.99462000000014,20.0
1740507762.442561,207.16020000000015,20.0
1740507762.4594681,207.49814000000015,20.0
1740507762.467638,207.66160000000013,20.0
1740507762.475903,207.82704000000012,20.0
1740507762.484302,207.99502000000012,20.0
1740507762.500999,208.3289600000001,20.0
1740507762.50928,208.4946200000001,20.0
1740507762.517678,208.66250000000014,20.0
1740507762.534382,208.99662000000012,20.0
1740507762.542808,209.1650200000001,20.0
1740507762.5509179,209.32734000000013,20.0
1740507762.567596,209.6609000000001,20.0
1740507762.5758479,209.82596000000015,20.0
1740507762.584213,209.99322000000012,20.0
1740507762.600961,210.32798000000014,20.0
1740507762.609178,210.49258000000012,20.0
1740507762.617501,210.65904000000012,20.0
1740507762.626061,210.8301000000001,20.0
1740507762.6426492,211.1619600000001,20.0
1740507762.650829,211.32556000000014,20.0
1740507762.6593611,211.32556000000014,0.0
1740507762.675959,211.32556000000014,0.0
1740507762.6842282,211.32556000000014,0.0
1740507762.6925309,211.32556000000014,0.0
1740507762.700918,211.32556000000014,0.0
1740507762.709322,211.32556000000014,0.0
1740507762.717669,211.32556000000014,0.0
1740507762.7259462,211.32556000000014,0.0
1740507762.7343,211.32556000000014,0.0
1740507762.742728,211.32556000000014,0.0
1740507762.751128,211.32556000000014,0.0
1740507762.759486,211.32556000000014,0.0
1740507762.76795,211.32556000000014,0.0
1740507762.776293,211.32556000000014,0.0
1740507762.7845812,211.32556000000014,0.0
1740507762.7930791,211.32556000000014,0.0
1740507762.80141,211.32556000000014,0.0
1740507762.8116312,211.32556000000014,0.0
1740507762.81993,211.32556000000014,0.0
1740507762.825687,211.32556000000014,0.0
1740507762.837079,211.32556000000014,0.0
1740507762.8433542,211.32556000000014,0.0
1740507762.853208,211.32556000000014,0.0
1740507762.859856,211.32556000000014,0.0
1740507762.870477,211.32556000000014,0.0
1740507762.8767629,211.32556000000014,0.0
1740507762.884789,211.32556000000014,0.0
1740507762.8946712,211.32556000000014,0.0
1740507762.902677,211.32556000000014,0.0
1740507762.9107,211.32556000000014,0.0
1740507762.917452,211.32556000000014,0.0
1740507762.9290082,211.32556000000014,0.0
1740507762.935294,211.32556000000014,0.0
1740507762.9447832,211.32556000000014,0.0
1740507762.952641,211.32556000000014,0.0
